rank,FFT_type,precision,x,y,z,px,py,backend,nodes,time
13,FFT,float32,16,16,16,4,4,NCCL,2,0.0439278960000137
10,FFT,float32,16,16,16,4,4,NCCL,2,0.0443553809999457
9,FFT,float32,16,16,16,4,4,NCCL,2,0.0443444600000475
14,FFT,float32,16,16,16,4,4,NCCL,2,0.0439482130000215
11,FFT,float32,16,16,16,4,4,NCCL,2,0.0443704690000004
8,FFT,float32,16,16,16,4,4,NCCL,2,0.0441903340000635
15,FFT,float32,16,16,16,4,4,NCCL,2,0.0439600959999779
12,FFT,float32,16,16,16,4,4,NCCL,2,0.0437996870000461
1,FFT,float32,16,16,16,4,4,NCCL,2,0.0013469199999462
5,FFT,float32,16,16,16,4,4,NCCL,2,0.000267086000008
0,FFT,float32,16,16,16,4,4,NCCL,2,0.0011351680000188
3,FFT,float32,16,16,16,4,4,NCCL,2,0.0013626300000169
2,FFT,float32,16,16,16,4,4,NCCL,2,0.0013353399999687
7,FFT,float32,16,16,16,4,4,NCCL,2,0.0005254850000255
6,FFT,float32,16,16,16,4,4,NCCL,2,0.0005304449999812
4,FFT,float32,16,16,16,4,4,NCCL,2,0.000525676000052
3,IFFT,float32,16,16,16,4,4,NCCL,2,0.0003293610000127
0,IFFT,float32,16,16,16,4,4,NCCL,2,0.0003162670000165
7,IFFT,float32,16,16,16,4,4,NCCL,2,0.0003088629999865
6,IFFT,float32,16,16,16,4,4,NCCL,2,0.000300487000004
5,IFFT,float32,16,16,16,4,4,NCCL,2,0.0002928639999026
2,IFFT,float32,16,16,16,4,4,NCCL,2,0.0003195040000036
4,IFFT,float32,16,16,16,4,4,NCCL,2,0.0002963309999586
1,IFFT,float32,16,16,16,4,4,NCCL,2,0.0003102360000184
10,IFFT,float32,16,16,16,4,4,NCCL,2,0.0002947989999029
11,IFFT,float32,16,16,16,4,4,NCCL,2,0.0002515380000431
14,IFFT,float32,16,16,16,4,4,NCCL,2,0.0002831870000363
8,IFFT,float32,16,16,16,4,4,NCCL,2,0.0003186330000062
9,IFFT,float32,16,16,16,4,4,NCCL,2,0.0002716650000138
13,IFFT,float32,16,16,16,4,4,NCCL,2,0.0002867439999363
12,IFFT,float32,16,16,16,4,4,NCCL,2,0.0002739799999744
15,IFFT,float32,16,16,16,4,4,NCCL,2,0.0003213679999589
11,FFT,float32,16,16,16,4,4,MPI,2,0.0697374569999738
10,FFT,float32,16,16,16,4,4,MPI,2,0.0696935250000478
8,FFT,float32,16,16,16,4,4,MPI,2,0.0696987249999665
15,FFT,float32,16,16,16,4,4,MPI,2,0.061120255999981
14,FFT,float32,16,16,16,4,4,MPI,2,0.0610856119999425
12,FFT,float32,16,16,16,4,4,MPI,2,0.0610543429999097
13,FFT,float32,16,16,16,4,4,MPI,2,0.061117170999978
9,FFT,float32,16,16,16,4,4,MPI,2,0.0697155359999897
1,FFT,float32,16,16,16,4,4,MPI,2,0.0004023770000003
0,FFT,float32,16,16,16,4,4,MPI,2,0.0004480719999264
4,FFT,float32,16,16,16,4,4,MPI,2,0.2456450409999888
6,FFT,float32,16,16,16,4,4,MPI,2,0.2457336759999862
2,FFT,float32,16,16,16,4,4,MPI,2,0.0004873450000104
7,FFT,float32,16,16,16,4,4,MPI,2,0.2456685959999731
5,FFT,float32,16,16,16,4,4,MPI,2,0.2456777129999636
3,FFT,float32,16,16,16,4,4,MPI,2,0.000494587999924
5,IFFT,float32,16,16,16,4,4,MPI,2,0.0003015599999116
6,IFFT,float32,16,16,16,4,4,MPI,2,0.0003294719999757
2,IFFT,float32,16,16,16,4,4,MPI,2,0.0003486180000891
1,IFFT,float32,16,16,16,4,4,MPI,2,0.0003427960000408
0,IFFT,float32,16,16,16,4,4,MPI,2,0.0003350719999843
3,IFFT,float32,16,16,16,4,4,MPI,2,0.0003351629999315
7,IFFT,float32,16,16,16,4,4,MPI,2,0.0003017200000385
4,IFFT,float32,16,16,16,4,4,MPI,2,0.0003443699999934
8,IFFT,float32,16,16,16,4,4,MPI,2,0.0003477979998933
11,IFFT,float32,16,16,16,4,4,MPI,2,0.0003314670000236
9,IFFT,float32,16,16,16,4,4,MPI,2,0.0003400639999426
15,IFFT,float32,16,16,16,4,4,MPI,2,0.0003394419999267
14,IFFT,float32,16,16,16,4,4,MPI,2,0.000335605000032
12,IFFT,float32,16,16,16,4,4,MPI,2,0.0003327000000581
13,IFFT,float32,16,16,16,4,4,MPI,2,0.0003203360000725
10,IFFT,float32,16,16,16,4,4,MPI,2,0.0003311870000288
9,FFT,float32,16,16,16,8,2,NCCL,2,0.0614427579999983
14,FFT,float32,16,16,16,8,2,NCCL,2,0.0212647409999817
8,FFT,float32,16,16,16,8,2,NCCL,2,0.0612693049999961
15,FFT,float32,16,16,16,8,2,NCCL,2,0.0211297399999921
13,FFT,float32,16,16,16,8,2,NCCL,2,0.0221698240000023
11,FFT,float32,16,16,16,8,2,NCCL,2,0.0444314700000632
12,FFT,float32,16,16,16,8,2,NCCL,2,0.0223369259999799
10,FFT,float32,16,16,16,8,2,NCCL,2,0.0446011960000305
7,FFT,float32,16,16,16,8,2,NCCL,2,0.011586573000045
3,FFT,float32,16,16,16,8,2,NCCL,2,0.0002517970000326
4,FFT,float32,16,16,16,8,2,NCCL,2,0.0122022460000152
0,FFT,float32,16,16,16,8,2,NCCL,2,0.0023898670000335
5,FFT,float32,16,16,16,8,2,NCCL,2,0.0120539509999844
2,FFT,float32,16,16,16,8,2,NCCL,2,0.0004212620000316
6,FFT,float32,16,16,16,8,2,NCCL,2,0.0114465330000257
1,FFT,float32,16,16,16,8,2,NCCL,2,0.0025974229999974
2,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003800659999342
1,IFFT,float32,16,16,16,8,2,NCCL,2,0.000352313999997
0,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003980799999681
3,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003556400000661
6,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003806559999475
7,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003431579999642
4,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003696969999964
5,IFFT,float32,16,16,16,8,2,NCCL,2,0.0002390339999465
12,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003672730000516
15,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003639169999587
10,IFFT,float32,16,16,16,8,2,NCCL,2,0.000367333999975
14,IFFT,float32,16,16,16,8,2,NCCL,2,0.000355681999963
11,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003371269999661
9,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003322080000316
13,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003554910000502
8,IFFT,float32,16,16,16,8,2,NCCL,2,0.0003153269999529
9,FFT,float32,16,16,16,8,2,MPI,2,0.0080000130000144
14,FFT,float32,16,16,16,8,2,MPI,2,0.0074603599999818
8,FFT,float32,16,16,16,8,2,MPI,2,0.0078995170000553
11,FFT,float32,16,16,16,8,2,MPI,2,0.0308870130000968
1,FFT,float32,16,16,16,8,2,MPI,2,0.3588260300000456
12,FFT,float32,16,16,16,8,2,MPI,2,0.0004481229999555
13,FFT,float32,16,16,16,8,2,MPI,2,0.0004053740000244
15,FFT,float32,16,16,16,8,2,MPI,2,0.0074476850001019
10,FFT,float32,16,16,16,8,2,MPI,2,0.0308272920000263
7,FFT,float32,16,16,16,8,2,MPI,2,0.3610277660000065
2,FFT,float32,16,16,16,8,2,MPI,2,0.3598780669999541
6,FFT,float32,16,16,16,8,2,MPI,2,0.361033615999986
4,FFT,float32,16,16,16,8,2,MPI,2,0.3788879290000295
0,FFT,float32,16,16,16,8,2,MPI,2,0.3588371009999491
3,FFT,float32,16,16,16,8,2,MPI,2,0.3598964310000383
5,FFT,float32,16,16,16,8,2,MPI,2,0.3789663349999728
12,IFFT,float32,16,16,16,8,2,MPI,2,0.0003840549999267
5,IFFT,float32,16,16,16,8,2,MPI,2,0.0003246539999963
11,IFFT,float32,16,16,16,8,2,MPI,2,0.0003278699999782
10,IFFT,float32,16,16,16,8,2,MPI,2,0.0003902460000517
0,IFFT,float32,16,16,16,8,2,MPI,2,0.0003902360000438
9,IFFT,float32,16,16,16,8,2,MPI,2,0.0003397519999452
13,IFFT,float32,16,16,16,8,2,MPI,2,0.0003223700000489
14,IFFT,float32,16,16,16,8,2,MPI,2,0.00037496799996
4,IFFT,float32,16,16,16,8,2,MPI,2,0.0003644680000434
15,IFFT,float32,16,16,16,8,2,MPI,2,0.0003159179999556
2,IFFT,float32,16,16,16,8,2,MPI,2,0.0003939619999755
8,IFFT,float32,16,16,16,8,2,MPI,2,0.0003681750000623
1,IFFT,float32,16,16,16,8,2,MPI,2,0.0003433179999774
6,IFFT,float32,16,16,16,8,2,MPI,2,0.0003878310000118
3,IFFT,float32,16,16,16,8,2,MPI,2,0.000348588999941
7,IFFT,float32,16,16,16,8,2,MPI,2,0.000343918999988
14,FFT,float32,32,32,32,4,4,NCCL,2,0.0011627029999772
8,FFT,float32,32,32,32,4,4,NCCL,2,0.0002385539999067
13,FFT,float32,32,32,32,4,4,NCCL,2,0.0009413919999587
15,FFT,float32,32,32,32,4,4,NCCL,2,0.0012319920000436
12,FFT,float32,32,32,32,4,4,NCCL,2,0.0011137230000031
10,FFT,float32,32,32,32,4,4,NCCL,2,0.0004363419999435
1,FFT,float32,32,32,32,4,4,NCCL,2,0.0466586480000614
11,FFT,float32,32,32,32,4,4,NCCL,2,0.0004326650000621
9,FFT,float32,32,32,32,4,4,NCCL,2,0.0004337369999802
7,FFT,float32,32,32,32,4,4,NCCL,2,0.0413623320000624
4,FFT,float32,32,32,32,4,4,NCCL,2,0.0411357219999217
6,FFT,float32,32,32,32,4,4,NCCL,2,0.0413880900000549
5,FFT,float32,32,32,32,4,4,NCCL,2,0.0413775600000008
0,FFT,float32,32,32,32,4,4,NCCL,2,0.0466512240000156
2,FFT,float32,32,32,32,4,4,NCCL,2,0.0466689369999357
3,FFT,float32,32,32,32,4,4,NCCL,2,0.0464394000000538
7,IFFT,float32,32,32,32,4,4,NCCL,2,0.0002036079999925
6,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003213060000462
5,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003283200001078
4,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003019709999989
1,IFFT,float32,32,32,32,4,4,NCCL,2,0.000321987999996
0,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003338400000529
2,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003222090000463
3,IFFT,float32,32,32,32,4,4,NCCL,2,0.0002982840001095
15,IFFT,float32,32,32,32,4,4,NCCL,2,0.0002720160000535
8,IFFT,float32,32,32,32,4,4,NCCL,2,0.000321787999951
11,IFFT,float32,32,32,32,4,4,NCCL,2,0.0002759539999033
10,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003151360000401
9,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003339810000397
12,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003014810000649
13,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003210770000805
14,IFFT,float32,32,32,32,4,4,NCCL,2,0.0003058190000047
9,FFT,float32,32,32,32,4,4,MPI,2,0.0458121200000505
14,FFT,float32,32,32,32,4,4,MPI,2,0.0003995629999735
12,FFT,float32,32,32,32,4,4,MPI,2,0.0004128479999963
11,FFT,float32,32,32,32,4,4,MPI,2,0.0458881009999458
13,FFT,float32,32,32,32,4,4,MPI,2,0.0004052539999293
5,FFT,float32,32,32,32,4,4,MPI,2,0.4107488930000045
15,FFT,float32,32,32,32,4,4,MPI,2,0.000420872999939
10,FFT,float32,32,32,32,4,4,MPI,2,0.0458444500000041
8,FFT,float32,32,32,32,4,4,MPI,2,0.0458472850000362
2,FFT,float32,32,32,32,4,4,MPI,2,0.4829180350000115
3,FFT,float32,32,32,32,4,4,MPI,2,0.4829691099999991
1,FFT,float32,32,32,32,4,4,MPI,2,0.4829285349999281
4,FFT,float32,32,32,32,4,4,MPI,2,0.4107682599999407
7,FFT,float32,32,32,32,4,4,MPI,2,0.4107855010000776
0,FFT,float32,32,32,32,4,4,MPI,2,0.4829065239999863
6,FFT,float32,32,32,32,4,4,MPI,2,0.4107853710000881
11,IFFT,float32,32,32,32,4,4,MPI,2,0.0021720820000155
4,IFFT,float32,32,32,32,4,4,MPI,2,0.001967233000073
9,IFFT,float32,32,32,32,4,4,MPI,2,0.0018702589999293
13,IFFT,float32,32,32,32,4,4,MPI,2,0.0018968390000964
2,IFFT,float32,32,32,32,4,4,MPI,2,0.0020920749999504
8,IFFT,float32,32,32,32,4,4,MPI,2,0.0020156399999677
12,IFFT,float32,32,32,32,4,4,MPI,2,0.0019521420000501
15,IFFT,float32,32,32,32,4,4,MPI,2,0.0021138729999847
10,IFFT,float32,32,32,32,4,4,MPI,2,0.0021826610000061
3,IFFT,float32,32,32,32,4,4,MPI,2,0.0021114510000188
14,IFFT,float32,32,32,32,4,4,MPI,2,0.0020874840000715
6,IFFT,float32,32,32,32,4,4,MPI,2,0.0021130540000058
7,IFFT,float32,32,32,32,4,4,MPI,2,0.0021246449999807
