rank,FFT_type,precision,x,y,z,px,py,backend,nodes,time
10,FFT,float32,16,16,16,4,4,NCCL,2,0.2563232249999601
13,FFT,float32,16,16,16,4,4,NCCL,2,0.0002937060000931
12,FFT,float32,16,16,16,4,4,NCCL,2,0.000381510000011
15,FFT,float32,16,16,16,4,4,NCCL,2,0.000378314000045
14,FFT,float32,16,16,16,4,4,NCCL,2,0.0004694939999581
9,FFT,float32,16,16,16,4,4,NCCL,2,0.2562416439999424
11,FFT,float32,16,16,16,4,4,NCCL,2,0.2561608539999724
8,FFT,float32,16,16,16,4,4,NCCL,2,0.2561742289999529
0,FFT,float32,16,16,16,4,4,NCCL,2,0.6210092620000296
3,FFT,float32,16,16,16,4,4,NCCL,2,0.6210183879999249
6,FFT,float32,16,16,16,4,4,NCCL,2,0.2845330869999998
1,FFT,float32,16,16,16,4,4,NCCL,2,0.621123965000038
7,FFT,float32,16,16,16,4,4,NCCL,2,0.2847066289999702
2,FFT,float32,16,16,16,4,4,NCCL,2,0.6209540090000019
4,FFT,float32,16,16,16,4,4,NCCL,2,0.284625377999987
5,FFT,float32,16,16,16,4,4,NCCL,2,0.2844509940000534
5,IFFT,float32,16,16,16,4,4,NCCL,2,0.0005507320000788
7,IFFT,float32,16,16,16,4,4,NCCL,2,0.0002410780000445
4,IFFT,float32,16,16,16,4,4,NCCL,2,0.0006361810000043
3,IFFT,float32,16,16,16,4,4,NCCL,2,0.0005373479999661
2,IFFT,float32,16,16,16,4,4,NCCL,2,0.0010165169999254
6,IFFT,float32,16,16,16,4,4,NCCL,2,0.0005592680000745
1,IFFT,float32,16,16,16,4,4,NCCL,2,0.0010347219999857
0,IFFT,float32,16,16,16,4,4,NCCL,2,0.0010225280000213
8,IFFT,float32,16,16,16,4,4,NCCL,2,0.0009680410000783
13,IFFT,float32,16,16,16,4,4,NCCL,2,0.0009674500000755
12,IFFT,float32,16,16,16,4,4,NCCL,2,0.000990301999991
9,IFFT,float32,16,16,16,4,4,NCCL,2,0.0009787910000795
14,IFFT,float32,16,16,16,4,4,NCCL,2,0.0009546960000079
11,IFFT,float32,16,16,16,4,4,NCCL,2,0.0005268009999781
10,IFFT,float32,16,16,16,4,4,NCCL,2,0.0009927669999569
15,IFFT,float32,16,16,16,4,4,NCCL,2,0.0006027819999872
15,FFT,float32,16,16,16,2,8,NCCL,2,0.0004470519999131
12,FFT,float32,16,16,16,2,8,NCCL,2,0.0006095539999932
9,FFT,float32,16,16,16,2,8,NCCL,2,0.0005012320000332
8,FFT,float32,16,16,16,2,8,NCCL,2,0.000366361000033
10,FFT,float32,16,16,16,2,8,NCCL,2,0.0002750320001041
14,FFT,float32,16,16,16,2,8,NCCL,2,0.0004113360000701
13,FFT,float32,16,16,16,2,8,NCCL,2,0.0005131249999976
11,FFT,float32,16,16,16,2,8,NCCL,2,0.0003663820000383
7,FFT,float32,16,16,16,2,8,NCCL,2,0.1934939309999208
1,FFT,float32,16,16,16,2,8,NCCL,2,0.1933205690000932
2,FFT,float32,16,16,16,2,8,NCCL,2,0.1935373710000476
3,FFT,float32,16,16,16,2,8,NCCL,2,0.1933998459999202
6,FFT,float32,16,16,16,2,8,NCCL,2,0.1933078150000255
0,FFT,float32,16,16,16,2,8,NCCL,2,0.1932926869999391
4,FFT,float32,16,16,16,2,8,NCCL,2,0.19379226500007
5,FFT,float32,16,16,16,2,8,NCCL,2,0.1934742739999819
