rank,FFT_type,precision,x,y,z,px,py,backend,nodes,time
10,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0008201599121093
8,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0007352828979492
11,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0007033348083496
13,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0006535053253173
14,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0008826255798339
9,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0008211135864257
12,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0009117126464843
15,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0009353160858154
2,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0009472370147705
1,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0009000301361083
4,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0008344650268554
6,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0007994174957275
5,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0008578300476074
7,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0010125637054443
3,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0008563995361328
0,FFT,float32,16,16,16,4,4,MPI4JAX,2,0.0012390613555908
3,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0008494853973388
1,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0007996559143066
6,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0006680488586425
4,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0007545948028564
5,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0007877349853515
0,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0007309913635253
7,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0007858276367187
2,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0008888244628906
12,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.00063157081604
8,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0007643699645996
9,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.000795841217041
10,IFFT,float32,16,16,16,4,4,MPI4JAX,2,0.0006227493286132
