function,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_div,last_time,generated_code,argument_size,output_size,temp_size,flops
FFT,float32,256,256,256,2,2,NCCL,1,706.107,2.5323,130.5772,15.5494,38.3428,2.8139,10400,16777216,33554432,67109376,809500672.0
IFFT,float32,256,256,256,2,2,NCCL,1,324.3525,5.7681,6.076,5.9473,0.0995,5.9803,7904,33554432,33554432,33555456,805306368.0
FFT,float32,256,256,256,1,4,NCCL,1,535.2052,0.9579,120.6827,12.9402,35.9142,0.9627,10528,16777216,33554432,67109120,2420113408.0
IFFT,float32,256,256,256,1,4,NCCL,1,186.7303,0.9949,1.2224,1.0265,0.0655,1.0011,7776,33554432,33554432,33554688,536870912.0
FFT,float32,256,256,256,4,1,NCCL,1,517.7474,0.9127,122.3795,13.1164,36.421,0.9127,10400,16777216,33554432,67109120,2420113408.0
IFFT,float32,256,256,256,4,1,NCCL,1,195.088,1.134,1.6572,1.2351,0.146,1.1429,7904,33554432,33554432,33554688,1879048192.0
FFT,float32,512,512,512,2,2,NCCL,1,526.3438,15.7099,142.2355,28.8044,37.8121,15.8379,10016,134217728,268435456,536871424,7281311744.0
IFFT,float32,512,512,512,2,2,NCCL,1,306.4759,49.8854,51.6987,50.7186,0.5364,50.1167,7904,268435456,268435456,268436480,7247757312.0
FFT,float32,512,512,512,1,4,NCCL,1,506.3701,9.2688,128.1615,21.308,35.6181,9.4393,10144,134217728,268435456,536871168,24192745472.0
IFFT,float32,512,512,512,1,4,NCCL,1,188.1476,6.8251,7.3804,7.0146,0.1596,7.0702,7776,268435456,268435456,268435712,4831838208.0
FFT,float32,512,512,512,4,1,NCCL,1,549.1572,6.12,125.9745,18.3047,35.8903,6.3799,10016,134217728,268435456,536871168,24192745472.0
IFFT,float32,512,512,512,4,1,NCCL,1,196.4948,10.536,11.0422,10.7878,0.1642,10.9974,7904,268435456,268435456,268435712,19327352832.0
FFT,float32,1024,1024,1024,2,2,NCCL,1,580.6523,124.1356,238.0057,136.1544,33.9522,124.8309,10016,1073741824,2147483648,4294967808,64692944896.0
IFFT,float32,1024,1024,1024,2,2,NCCL,1,648.6873,406.6868,413.6494,411.853,1.9152,412.7733,7904,2147483648,2147483648,2147484672,64424509440.0
FFT,float32,1024,1024,1024,1,4,NCCL,1,617.3513,104.7273,225.5043,116.9216,36.1943,104.7756,10144,1073741824,2147483648,4294967552,236491636736.0
IFFT,float32,1024,1024,1024,1,4,NCCL,1,230.6202,51.5017,51.8953,51.7068,0.1214,51.8953,7776,2147483648,2147483648,2147483904,42949672960.0
FFT,float32,1024,1024,1024,4,1,NCCL,1,566.5096,46.8693,167.2792,59.18,36.0337,46.8693,10016,1073741824,2147483648,4294967552,236491636736.0
IFFT,float32,1024,1024,1024,4,1,NCCL,1,297.2951,114.465,115.0942,114.7424,0.1823,114.8857,7904,2147483648,2147483648,2147483904,193273528320.0
FFT,float64,256,256,256,2,2,NCCL,1,646.467,5.0913,145.0924,19.2037,41.963,5.195,13856,33554432,67108864,134218240,809500672.0
IFFT,float64,256,256,256,2,2,NCCL,1,274.5816,11.3637,11.67,11.528,0.0897,11.4778,10080,67108864,67108864,67109888,805306368.0
FFT,float64,256,256,256,1,4,NCCL,1,690.2447,1.7179,134.3641,15.1323,39.7441,2.0162,13856,33554432,67108864,134217984,2420113408.0
IFFT,float64,256,256,256,1,4,NCCL,1,199.7795,1.9021,2.2091,2.0798,0.1128,2.2053,10080,67108864,67108864,67109120,536870912.0
FFT,float64,256,256,256,4,1,NCCL,1,550.9215,1.8787,134.3537,15.2337,39.7067,2.003,13856,33554432,67108864,134217984,2420113408.0
IFFT,float64,256,256,256,4,1,NCCL,1,323.948,2.2098,2.4648,2.3721,0.0726,2.4021,10080,67108864,67108864,67109120,1879048192.0
FFT,float64,512,512,512,2,2,NCCL,1,681.8004,32.2982,169.251,46.3077,40.9833,32.4366,12448,268435456,536870912,1073742336,7281311744.0
IFFT,float64,512,512,512,2,2,NCCL,1,352.689,91.001,93.7495,91.6217,0.7673,91.2125,10080,536870912,536870912,536871936,7247757312.0
FFT,float64,512,512,512,1,4,NCCL,1,753.29,18.3073,150.9303,31.6744,39.752,18.4027,12448,268435456,536870912,1073742080,24192745472.0
IFFT,float64,512,512,512,1,4,NCCL,1,204.6682,13.5878,13.7412,13.6555,0.0442,13.6501,10080,536870912,536870912,536871168,4831838208.0
FFT,float64,512,512,512,4,1,NCCL,1,549.3676,12.3068,143.2719,25.5095,39.2542,12.5307,12448,268435456,536870912,1073742080,24192745472.0
IFFT,float64,512,512,512,4,1,NCCL,1,387.1658,20.9562,21.4847,21.0835,0.1384,21.0776,10080,536870912,536870912,536871168,19327352832.0
FFT,float64,1024,1024,1024,2,2,NCCL,1,888.7423,258.2683,370.2987,269.8488,33.4849,258.3539,12448,2147483648,4294967296,8589935104,64692944896.0
IFFT,float64,1024,1024,1024,2,2,NCCL,1,954.4082,735.2588,738.0915,736.7988,0.7224,736.7011,10080,4294967296,4294967296,4294968320,64424509440.0
FFT,float64,1024,1024,1024,1,4,NCCL,1,825.4491,161.0799,296.4956,174.8356,40.5536,161.0799,12448,2147483648,4294967296,8589934848,236491636736.0
IFFT,float64,1024,1024,1024,1,4,NCCL,1,290.8749,106.7633,107.1848,106.9726,0.1254,106.9363,10080,4294967296,4294967296,4294967552,42949672960.0
FFT,float64,1024,1024,1024,4,1,NCCL,1,597.4408,97.4034,230.2134,110.834,39.7934,97.6816,12448,2147483648,4294967296,8589934848,236491636736.0
IFFT,float64,1024,1024,1024,4,1,NCCL,1,371.7652,181.2747,181.8395,181.5588,0.192,181.742,10080,4294967296,4294967296,4294967552,193273528320.0
FFT,float32,256,256,256,2,4,NCCL,2,902.5487,5.6958,227.9601,27.9827,66.6591,5.6958,16480,8388608,16777216,33554944,404750336.0
IFFT,float32,256,256,256,2,4,NCCL,2,485.6104,23.3415,24.2998,23.5976,0.2677,23.6184,14944,16777216,16777216,33556480,402653184.0
