function,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_div,last_time,generated_code,argument_size,output_size,temp_size,flops
FFT,float32,256,256,256,2,2,NCCL,1,819.6025,1.9645,74.2127,9.3461,21.6223,2.2104,5608,16777216,33554432,67108864,4194303.0
IFFT,float32,256,256,256,2,2,NCCL,1,88.0517,2.0737,2.3348,2.2066,0.0802,2.2455,5224,33554432,33554432,67108864,4194303.0
FFT,float32,256,256,256,1,4,NCCL,1,789.3709,0.9986,74.3951,8.4802,21.9719,1.3194,5608,16777216,33554432,67108864,4194303.0
IFFT,float32,256,256,256,1,4,NCCL,1,88.3266,1.1958,1.5188,1.3277,0.1103,1.4061,5224,33554432,33554432,67108864,4194303.0
FFT,float32,256,256,256,4,1,NCCL,1,790.3692,0.9582,74.4725,8.4031,22.0233,1.1798,5608,16777216,33554432,67108864,4194303.0
IFFT,float32,256,256,256,4,1,NCCL,1,90.183,1.0821,1.3547,1.1755,0.0758,1.3547,5224,33554432,33554432,67108864,4194303.0
FFT,float32,512,512,512,2,2,NCCL,1,783.1543,12.5959,82.9725,19.7142,21.0862,12.6364,5224,134217728,268435456,536870912,33554432.0
IFFT,float32,512,512,512,2,2,NCCL,1,98.681,13.5695,13.7186,13.6439,0.0438,13.7113,5224,268435456,268435456,536870912,33554432.0
FFT,float32,512,512,512,1,4,NCCL,1,803.1565,7.065,78.4502,14.277,21.3911,7.065,5224,134217728,268435456,536870912,33554432.0
IFFT,float32,512,512,512,1,4,NCCL,1,92.3489,8.0952,8.3076,8.1634,0.06,8.3076,5224,268435456,268435456,536870912,33554432.0
FFT,float32,512,512,512,4,1,NCCL,1,804.9609,7.0595,83.0941,14.7245,22.7899,7.0827,5224,134217728,268435456,536870912,33554432.0
IFFT,float32,512,512,512,4,1,NCCL,1,94.0124,8.0622,8.1894,8.1243,0.0382,8.1227,5224,268435456,268435456,536870912,33554432.0
FFT,float32,1024,1024,1024,2,2,NCCL,1,894.1751,101.9027,169.983,110.4103,19.888,103.2538,5224,1073741824,2147483648,4294967296,268435456.0
IFFT,float32,1024,1024,1024,2,2,NCCL,1,194.0046,107.9472,113.1648,110.4125,1.4055,109.8361,5224,2147483648,2147483648,4294967296,268435456.0
