rank,FFT_type,precision,x,y,z,px,py,backend,nodes,time
0,FFT,float32,16,16,16,4,4,NCCL,4,0.0005213599652051
1,FFT,float32,16,16,16,4,4,NCCL,4,0.0004781829193234
2,FFT,float32,16,16,16,4,4,NCCL,4,0.000289763091132
3,FFT,float32,16,16,16,4,4,NCCL,4,0.0004721519071608
9,FFT,float32,16,16,16,4,4,NCCL,4,0.0009437380358576
8,FFT,float32,16,16,16,4,4,NCCL,4,0.0012763729318976
11,FFT,float32,16,16,16,4,4,NCCL,4,0.0010368169751018
10,FFT,float32,16,16,16,4,4,NCCL,4,0.0013360190205276
13,FFT,float32,16,16,16,4,4,NCCL,4,0.0006736791692674
14,FFT,float32,16,16,16,4,4,NCCL,4,0.0007901149801909
12,FFT,float32,16,16,16,4,4,NCCL,4,0.0006914120167493
15,FFT,float32,16,16,16,4,4,NCCL,4,0.0006252841558307
6,FFT,float32,16,16,16,4,4,NCCL,4,0.001110197044909
4,FFT,float32,16,16,16,4,4,NCCL,4,0.0013742649462074
5,FFT,float32,16,16,16,4,4,NCCL,4,0.0009627079125493
7,FFT,float32,16,16,16,4,4,NCCL,4,0.0011473228223621
6,IFFT,float32,16,16,16,4,4,NCCL,4,0.0004346719942986
7,IFFT,float32,16,16,16,4,4,NCCL,4,0.0004024689551442
5,IFFT,float32,16,16,16,4,4,NCCL,4,0.0005591500084847
4,IFFT,float32,16,16,16,4,4,NCCL,4,0.000511959195137
12,IFFT,float32,16,16,16,4,4,NCCL,4,0.000495706917718
13,IFFT,float32,16,16,16,4,4,NCCL,4,0.000547882169485
15,IFFT,float32,16,16,16,4,4,NCCL,4,0.0004612361080944
14,IFFT,float32,16,16,16,4,4,NCCL,4,0.0004052841104567
11,IFFT,float32,16,16,16,4,4,NCCL,4,0.0002951151691377
8,IFFT,float32,16,16,16,4,4,NCCL,4,0.000533607089892
10,IFFT,float32,16,16,16,4,4,NCCL,4,0.0003046558704227
9,IFFT,float32,16,16,16,4,4,NCCL,4,0.0003559440374374
0,IFFT,float32,16,16,16,4,4,NCCL,4,0.000352859031409
2,IFFT,float32,16,16,16,4,4,NCCL,4,0.0003787318710237
3,IFFT,float32,16,16,16,4,4,NCCL,4,0.0002677228767424
1,IFFT,float32,16,16,16,4,4,NCCL,4,0.000397966010496
1,FFT,float32,16,16,16,4,4,MPI,4,0.0773046710528433
0,FFT,float32,16,16,16,4,4,MPI,4,0.0772905030753463
3,FFT,float32,16,16,16,4,4,MPI,4,0.0773419709876179
2,FFT,float32,16,16,16,4,4,MPI,4,0.0772923349868506
4,FFT,float32,16,16,16,4,4,MPI,4,0.0910611369181424
5,FFT,float32,16,16,16,4,4,MPI,4,0.0911117300856858
10,FFT,float32,16,16,16,4,4,MPI,4,0.0698264981620013
6,FFT,float32,16,16,16,4,4,MPI,4,0.0910475540440529
8,FFT,float32,16,16,16,4,4,MPI,4,0.0698541610036045
9,FFT,float32,16,16,16,4,4,MPI,4,0.0697948499582707
11,FFT,float32,16,16,16,4,4,MPI,4,0.0698599899187684
7,FFT,float32,16,16,16,4,4,MPI,4,0.0910797109827399
14,FFT,float32,16,16,16,4,4,MPI,4,0.000522332964465
15,FFT,float32,16,16,16,4,4,MPI,4,0.0005148812197148
12,FFT,float32,16,16,16,4,4,MPI,4,0.0004668738692998
13,FFT,float32,16,16,16,4,4,MPI,4,0.0004885389935225
0,IFFT,float32,16,16,16,4,4,MPI,4,0.0004410319961607
2,IFFT,float32,16,16,16,4,4,MPI,4,0.0004396259319037
1,IFFT,float32,16,16,16,4,4,MPI,4,0.0004432681016623
6,IFFT,float32,16,16,16,4,4,MPI,4,0.0004725700709968
3,IFFT,float32,16,16,16,4,4,MPI,4,0.00043854303658
5,IFFT,float32,16,16,16,4,4,MPI,4,0.0004341308958828
7,IFFT,float32,16,16,16,4,4,MPI,4,0.000491373008117
4,IFFT,float32,16,16,16,4,4,MPI,4,0.0003490520175546
12,IFFT,float32,16,16,16,4,4,MPI,4,0.0004395220894366
11,IFFT,float32,16,16,16,4,4,MPI,4,0.0004282949957996
9,IFFT,float32,16,16,16,4,4,MPI,4,0.0003885400947183
10,IFFT,float32,16,16,16,4,4,MPI,4,0.0004166520666331
8,IFFT,float32,16,16,16,4,4,MPI,4,0.0004336740821599
13,IFFT,float32,16,16,16,4,4,MPI,4,0.0003747839946299
14,IFFT,float32,16,16,16,4,4,MPI,4,0.000403398880735
15,IFFT,float32,16,16,16,4,4,MPI,4,0.0004503240343183
12,FFT,float32,16,16,16,8,2,NCCL,4,0.0012523669283837
13,FFT,float32,16,16,16,8,2,NCCL,4,0.0012190099805593
14,FFT,float32,16,16,16,8,2,NCCL,4,0.0002675731666386
15,FFT,float32,16,16,16,8,2,NCCL,4,0.0005406579002737
0,FFT,float32,16,16,16,8,2,NCCL,4,0.0008395239710807
7,FFT,float32,16,16,16,8,2,NCCL,4,0.000996691873297
8,FFT,float32,16,16,16,8,2,NCCL,4,0.0010941969230771
3,FFT,float32,16,16,16,8,2,NCCL,4,0.0008236358407884
5,FFT,float32,16,16,16,8,2,NCCL,4,0.0013848089147359
9,FFT,float32,16,16,16,8,2,NCCL,4,0.0011701639741659
1,FFT,float32,16,16,16,8,2,NCCL,4,0.00089574418962
4,FFT,float32,16,16,16,8,2,NCCL,4,0.001259614014998
6,FFT,float32,16,16,16,8,2,NCCL,4,0.0011533128563314
11,FFT,float32,16,16,16,8,2,NCCL,4,0.0010601948015391
2,FFT,float32,16,16,16,8,2,NCCL,4,0.0006720200181007
10,FFT,float32,16,16,16,8,2,NCCL,4,0.0010835060384124
9,IFFT,float32,16,16,16,8,2,NCCL,4,0.0005820309743285
10,IFFT,float32,16,16,16,8,2,NCCL,4,0.0005730399861931
11,IFFT,float32,16,16,16,8,2,NCCL,4,0.0006112209521234
1,IFFT,float32,16,16,16,8,2,NCCL,4,0.0007751979865133
12,IFFT,float32,16,16,16,8,2,NCCL,4,0.0003629748243838
8,IFFT,float32,16,16,16,8,2,NCCL,4,0.000634022988379
6,IFFT,float32,16,16,16,8,2,NCCL,4,0.0004917830228805
4,IFFT,float32,16,16,16,8,2,NCCL,4,0.0004677779506891
7,IFFT,float32,16,16,16,8,2,NCCL,4,0.0007726540789008
3,IFFT,float32,16,16,16,8,2,NCCL,4,0.0007009981200098
0,IFFT,float32,16,16,16,8,2,NCCL,4,0.0004594889469444
15,IFFT,float32,16,16,16,8,2,NCCL,4,0.0006430121138691
14,IFFT,float32,16,16,16,8,2,NCCL,4,0.000273386016488
5,IFFT,float32,16,16,16,8,2,NCCL,4,0.0007478580810129
2,IFFT,float32,16,16,16,8,2,NCCL,4,0.0005550500936806
13,IFFT,float32,16,16,16,8,2,NCCL,4,0.0006073538679629
5,FFT,float32,16,16,16,8,2,MPI,4,0.5884878979995847
6,FFT,float32,16,16,16,8,2,MPI,4,0.9937079129740596
7,FFT,float32,16,16,16,8,2,MPI,4,0.9937586688902228
4,FFT,float32,16,16,16,8,2,MPI,4,0.5885244079399854
11,FFT,float32,16,16,16,8,2,MPI,4,0.2958064349368214
15,FFT,float32,16,16,16,8,2,MPI,4,0.0010329950600862
1,FFT,float32,16,16,16,8,2,MPI,4,1.1442701150663197
3,FFT,float32,16,16,16,8,2,MPI,4,0.6042578341439366
0,FFT,float32,16,16,16,8,2,MPI,4,1.144246082054451
2,FFT,float32,16,16,16,8,2,MPI,4,0.6042639859952033
8,FFT,float32,16,16,16,8,2,MPI,4,0.2944295359775424
10,FFT,float32,16,16,16,8,2,MPI,4,0.2958446841221303
9,FFT,float32,16,16,16,8,2,MPI,4,0.2944482599850744
13,FFT,float32,16,16,16,8,2,MPI,4,0.0004225261509418
14,FFT,float32,16,16,16,8,2,MPI,4,0.0009930841624736
12,FFT,float32,16,16,16,8,2,MPI,4,0.0004276421386748
10,IFFT,float32,16,16,16,8,2,MPI,4,0.0004149889573454
8,IFFT,float32,16,16,16,8,2,MPI,4,0.000406441045925
6,IFFT,float32,16,16,16,8,2,MPI,4,0.0004535380285233
11,IFFT,float32,16,16,16,8,2,MPI,4,0.0003627859987318
9,IFFT,float32,16,16,16,8,2,MPI,4,0.0003970931284129
3,IFFT,float32,16,16,16,8,2,MPI,4,0.0004077220801264
12,IFFT,float32,16,16,16,8,2,MPI,4,0.0003945201169699
14,IFFT,float32,16,16,16,8,2,MPI,4,0.0004183321725577
4,IFFT,float32,16,16,16,8,2,MPI,4,0.0003845009487122
1,IFFT,float32,16,16,16,8,2,MPI,4,0.0004262041766196
0,IFFT,float32,16,16,16,8,2,MPI,4,0.0004235219676047
2,IFFT,float32,16,16,16,8,2,MPI,4,0.0004207319580018
15,IFFT,float32,16,16,16,8,2,MPI,4,0.0003956209402531
13,IFFT,float32,16,16,16,8,2,MPI,4,0.0004369542002677
7,IFFT,float32,16,16,16,8,2,MPI,4,0.0003547400701791
5,IFFT,float32,16,16,16,8,2,MPI,4,0.000481555936858
2,FFT,float32,16,16,16,16,1,NCCL,4,0.0003613999579101
10,FFT,float32,16,16,16,16,1,NCCL,4,0.0003603862132877
8,FFT,float32,16,16,16,16,1,NCCL,4,0.0003029219806194
11,FFT,float32,16,16,16,16,1,NCCL,4,0.000357616925612
1,FFT,float32,16,16,16,16,1,NCCL,4,0.000308196991682
3,FFT,float32,16,16,16,16,1,NCCL,4,0.0003046460915356
0,FFT,float32,16,16,16,16,1,NCCL,4,0.0003805391024798
9,FFT,float32,16,16,16,16,1,NCCL,4,0.0004264297895133
4,FFT,float32,16,16,16,16,1,NCCL,4,0.0003655308391898
12,FFT,float32,16,16,16,16,1,NCCL,4,0.0004033020231872
14,FFT,float32,16,16,16,16,1,NCCL,4,0.000617868034169
5,FFT,float32,16,16,16,16,1,NCCL,4,0.0003559039905667
6,FFT,float32,16,16,16,16,1,NCCL,4,0.0004084731917828
15,FFT,float32,16,16,16,16,1,NCCL,4,0.000561187043786
7,FFT,float32,16,16,16,16,1,NCCL,4,0.000381926074624
13,FFT,float32,16,16,16,16,1,NCCL,4,0.0005087240133434
14,IFFT,float32,16,16,16,16,1,NCCL,4,0.0006660730578005
13,IFFT,float32,16,16,16,16,1,NCCL,4,0.0005280959885567
5,IFFT,float32,16,16,16,16,1,NCCL,4,0.0005997151602059
15,IFFT,float32,16,16,16,16,1,NCCL,4,0.0006872650701552
10,IFFT,float32,16,16,16,16,1,NCCL,4,0.0006189669948071
0,IFFT,float32,16,16,16,16,1,NCCL,4,0.0006142961792647
1,IFFT,float32,16,16,16,16,1,NCCL,4,0.0006036770064383
12,IFFT,float32,16,16,16,16,1,NCCL,4,0.0004979830700904
9,IFFT,float32,16,16,16,16,1,NCCL,4,0.0006612290162593
7,IFFT,float32,16,16,16,16,1,NCCL,4,0.0005581150762736
11,IFFT,float32,16,16,16,16,1,NCCL,4,0.0006320290267467
4,IFFT,float32,16,16,16,16,1,NCCL,4,0.0005404141265898
8,IFFT,float32,16,16,16,16,1,NCCL,4,0.0006303929258137
6,IFFT,float32,16,16,16,16,1,NCCL,4,0.0005754199810326
3,IFFT,float32,16,16,16,16,1,NCCL,4,0.0004601348191499
2,IFFT,float32,16,16,16,16,1,NCCL,4,0.0005036499351263
9,FFT,float32,16,16,16,16,1,MPI,4,1.1662237199489027
1,FFT,float32,16,16,16,16,1,MPI,4,5.076234159991145
10,FFT,float32,16,16,16,16,1,MPI,4,1.1661966100800782
12,FFT,float32,16,16,16,16,1,MPI,4,0.0317172408103942
15,FFT,float32,16,16,16,16,1,MPI,4,0.0008188760839402
5,FFT,float32,16,16,16,16,1,MPI,4,2.8679677119944245
0,FFT,float32,16,16,16,16,1,MPI,4,4.541905146092176
11,FFT,float32,16,16,16,16,1,MPI,4,1.1661516139283776
8,FFT,float32,16,16,16,16,1,MPI,4,1.1660900379065424
13,FFT,float32,16,16,16,16,1,MPI,4,0.0008926051668822
4,FFT,float32,16,16,16,16,1,MPI,4,2.8679870821069926
6,FFT,float32,16,16,16,16,1,MPI,4,0.0008377961348742
2,FFT,float32,16,16,16,16,1,MPI,4,2.2923981819767505
14,FFT,float32,16,16,16,16,1,MPI,4,0.0004929320421069
7,FFT,float32,16,16,16,16,1,MPI,4,2.29241841705516
3,FFT,float32,16,16,16,16,1,MPI,4,3.43920691520907
12,IFFT,float32,16,16,16,16,1,MPI,4,0.0004243559669703
15,IFFT,float32,16,16,16,16,1,MPI,4,0.0004279408603906
13,IFFT,float32,16,16,16,16,1,MPI,4,0.0004849671386182
14,IFFT,float32,16,16,16,16,1,MPI,4,0.0005045570433139
9,IFFT,float32,16,16,16,16,1,MPI,4,0.0004046421963721
6,IFFT,float32,16,16,16,16,1,MPI,4,0.0004264421295374
4,IFFT,float32,16,16,16,16,1,MPI,4,0.0004776688292622
7,IFFT,float32,16,16,16,16,1,MPI,4,0.0005076199304312
5,IFFT,float32,16,16,16,16,1,MPI,4,0.0004245529416948
8,IFFT,float32,16,16,16,16,1,MPI,4,0.0004962291568517
10,IFFT,float32,16,16,16,16,1,MPI,4,0.0004113221075385
11,IFFT,float32,16,16,16,16,1,MPI,4,0.0004416019655764
0,IFFT,float32,16,16,16,16,1,MPI,4,0.0004281839355826
2,IFFT,float32,16,16,16,16,1,MPI,4,0.0004004079382866
1,IFFT,float32,16,16,16,16,1,MPI,4,0.0003953408449888
3,IFFT,float32,16,16,16,16,1,MPI,4,0.0004291750956326
0,FFT,float32,32,32,32,4,4,NCCL,4,0.0002597849816083
1,FFT,float32,32,32,32,4,4,NCCL,4,0.0004254938103258
2,FFT,float32,32,32,32,4,4,NCCL,4,0.0005379391368478
3,FFT,float32,32,32,32,4,4,NCCL,4,0.0005611150991171
8,FFT,float32,32,32,32,4,4,NCCL,4,0.0022605971898883
12,FFT,float32,32,32,32,4,4,NCCL,4,0.001792456023395
13,FFT,float32,32,32,32,4,4,NCCL,4,0.0016503680963069
15,FFT,float32,32,32,32,4,4,NCCL,4,0.0017800698988139
5,FFT,float32,32,32,32,4,4,NCCL,4,0.0022929611150175
7,FFT,float32,32,32,32,4,4,NCCL,4,0.0019196160137653
4,FFT,float32,32,32,32,4,4,NCCL,4,0.0022351050283759
9,FFT,float32,32,32,32,4,4,NCCL,4,0.0021365210413932
14,FFT,float32,32,32,32,4,4,NCCL,4,0.0018087150529026
6,FFT,float32,32,32,32,4,4,NCCL,4,0.0020478880032896
11,FFT,float32,32,32,32,4,4,NCCL,4,0.0023780160117894
10,FFT,float32,32,32,32,4,4,NCCL,4,0.0021111681126058
7,IFFT,float32,32,32,32,4,4,NCCL,4,0.0004285790491849
13,IFFT,float32,32,32,32,4,4,NCCL,4,0.0005194081459194
4,IFFT,float32,32,32,32,4,4,NCCL,4,0.0004303669556975
8,IFFT,float32,32,32,32,4,4,NCCL,4,0.00054541695863
6,IFFT,float32,32,32,32,4,4,NCCL,4,0.0002520789857953
9,IFFT,float32,32,32,32,4,4,NCCL,4,0.0004696431569755
1,IFFT,float32,32,32,32,4,4,NCCL,4,0.0003641569055616
15,IFFT,float32,32,32,32,4,4,NCCL,4,0.0005050899926573
14,IFFT,float32,32,32,32,4,4,NCCL,4,0.0003059618175029
5,IFFT,float32,32,32,32,4,4,NCCL,4,0.0002553558442741
