rank,FFT_type,precision,x,y,z,px,py,backend,nodes,time
9,FFT,float32,16,16,16,4,4,NCCL,4,0.0132023859769105
8,FFT,float32,16,16,16,4,4,NCCL,4,0.0132743581198155
11,FFT,float32,16,16,16,4,4,NCCL,4,0.0131917900871485
10,FFT,float32,16,16,16,4,4,NCCL,4,0.0133540260139852
6,FFT,float32,16,16,16,4,4,NCCL,4,0.0094510130584239
7,FFT,float32,16,16,16,4,4,NCCL,4,0.0094761189538985
5,FFT,float32,16,16,16,4,4,NCCL,4,0.0094470570329576
4,FFT,float32,16,16,16,4,4,NCCL,4,0.0096629718318581
0,FFT,float32,16,16,16,4,4,NCCL,4,0.0003756401129066
2,FFT,float32,16,16,16,4,4,NCCL,4,0.000466272002086
3,FFT,float32,16,16,16,4,4,NCCL,4,0.0005129689816385
13,FFT,float32,16,16,16,4,4,NCCL,4,0.0134040568955242
1,FFT,float32,16,16,16,4,4,NCCL,4,0.000444688135758
14,FFT,float32,16,16,16,4,4,NCCL,4,0.0134415219072252
15,FFT,float32,16,16,16,4,4,NCCL,4,0.0133333220146596
12,FFT,float32,16,16,16,4,4,NCCL,4,0.0134108820930123
15,IFFT,float32,16,16,16,4,4,NCCL,4,0.0004526560660451
13,IFFT,float32,16,16,16,4,4,NCCL,4,0.0010850320104509
14,IFFT,float32,16,16,16,4,4,NCCL,4,0.0005985491443425
12,IFFT,float32,16,16,16,4,4,NCCL,4,0.0006703550461679
10,IFFT,float32,16,16,16,4,4,NCCL,4,0.0004886959213763
9,IFFT,float32,16,16,16,4,4,NCCL,4,0.0006315780337899
11,IFFT,float32,16,16,16,4,4,NCCL,4,0.0002378751523792
3,IFFT,float32,16,16,16,4,4,NCCL,4,0.00049809506163
0,IFFT,float32,16,16,16,4,4,NCCL,4,0.0006459599826484
1,IFFT,float32,16,16,16,4,4,NCCL,4,0.0011231179814785
2,IFFT,float32,16,16,16,4,4,NCCL,4,0.0006405978929251
8,IFFT,float32,16,16,16,4,4,NCCL,4,0.0003814219962805
6,IFFT,float32,16,16,16,4,4,NCCL,4,0.0007439160253852
7,IFFT,float32,16,16,16,4,4,NCCL,4,0.0004306291230022
4,IFFT,float32,16,16,16,4,4,NCCL,4,0.001044986071065
5,IFFT,float32,16,16,16,4,4,NCCL,4,0.0008851110469549
7,FFT,float32,16,16,16,2,8,NCCL,4,0.0004071621224284
5,FFT,float32,16,16,16,2,8,NCCL,4,0.0004462010692805
4,FFT,float32,16,16,16,2,8,NCCL,4,0.0004621709231287
6,FFT,float32,16,16,16,2,8,NCCL,4,0.0003976770676672
