rank,FFT_type,precision,x,y,z,px,py,backend,nodes,time
15,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0010778903961181
14,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0010302066802978
13,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.000950813293457
12,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0010192394256591
0,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.001086950302124
3,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0010533332824707
1,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0010149478912353
2,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0010097026824951
9,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0008723735809326
8,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0009427070617675
10,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0009748935699462
11,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0009694099426269
5,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.000946044921875
7,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0009768009185791
4,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0010478496551513
6,FFT,float32,16,16,16,4,4,MPI4JAX,4,0.0009651184082031
4,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0011990070343017
5,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0011770725250244
7,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0012452602386474
6,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0008735656738281
1,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0011227130889892
3,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0012521743774414
2,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0009105205535888
0,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0012083053588867
11,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0012497901916503
9,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0011556148529052
10,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0009233951568603
8,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0010817050933837
15,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0012707710266113
14,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0008792877197265
12,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.0012257099151611
13,IFFT,float32,16,16,16,4,4,MPI4JAX,4,0.001150369644165
14,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0011436939239501
12,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009920597076416
13,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0010101795196533
15,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0010321140289306
5,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.000995397567749
1,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009794235229492
7,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0010268688201904
9,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0010437965393066
4,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009148120880126
8,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0010139942169189
3,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009326934814453
6,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009741783142089
10,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009763240814208
11,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0010077953338623
0,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.001056432723999
2,FFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009949207305908
0,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0010106563568115
2,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0011031627655029
1,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009229183197021
3,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009589195251464
9,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0008738040924072
8,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.00099778175354
4,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009734630584716
10,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0010955333709716
14,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0008845329284667
6,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009069442749023
7,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0010833740234375
11,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.000990867614746
5,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009634494781494
13,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.000950813293457
12,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0009562969207763
15,IFFT,float32,16,16,16,2,8,MPI4JAX,4,0.0011079311370849
14,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0009694099426269
15,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0009377002716064
13,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0009980201721191
12,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.001051902770996
3,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0010907649993896
1,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0010492801666259
5,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0008809566497802
7,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0010452270507812
10,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0011181831359863
11,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0010523796081542
0,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0010418891906738
4,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0009760856628417
8,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0009350776672363
2,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0010585784912109
6,FFT,float32,16,16,16,8,2,MPI4JAX,4,0.0009880065917968
