rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
1,FFT,float32,1024,1024,1024,4,4,NCCL,2,8151.3125,167.8544,231.6295,175.2681,18.7997,168.9209
1,IFFT,float32,1024,1024,1024,4,4,NCCL,2,237.3768,168.0987,169.3864,168.8252,0.4019,168.9264
4,FFT,float32,1024,1024,1024,4,4,NCCL,2,8151.7295,168.8677,232.6502,176.0347,18.8893,168.9388
4,IFFT,float32,1024,1024,1024,4,4,NCCL,2,237.475,167.0631,168.9998,168.1913,0.6322,168.5918
6,FFT,float32,1024,1024,1024,4,4,NCCL,2,8151.3666,167.3928,234.3776,174.796,19.8663,167.3928
6,IFFT,float32,1024,1024,1024,4,4,NCCL,2,237.8979,168.8171,170.4244,169.6965,0.464,169.9054
2,FFT,float32,1024,1024,1024,4,4,NCCL,2,8153.1876,167.5281,231.7215,174.5846,19.0513,167.5281
2,IFFT,float32,1024,1024,1024,4,4,NCCL,2,237.7636,168.349,170.2079,169.67,0.5569,169.8971
3,FFT,float32,1024,1024,1024,4,4,NCCL,2,8150.8572,167.7981,235.1874,175.6054,19.869,167.7981
3,IFFT,float32,1024,1024,1024,4,4,NCCL,2,237.9654,167.4731,169.7025,168.9669,0.6827,169.6244
7,FFT,float32,1024,1024,1024,4,4,NCCL,2,8151.5326,167.5874,231.8139,175.3156,18.843,167.5874
7,IFFT,float32,1024,1024,1024,4,4,NCCL,2,239.2964,167.6689,169.9987,168.9318,0.6856,169.9987
5,FFT,float32,1024,1024,1024,4,4,NCCL,2,8151.8191,167.848,232.8378,175.3868,19.1612,168.3155
5,IFFT,float32,1024,1024,1024,4,4,NCCL,2,238.0664,168.2952,169.6866,168.8572,0.4467,169.235
0,FFT,float32,1024,1024,1024,4,4,NCCL,2,8149.9903,168.5467,231.2315,175.9254,18.4497,170.4038
0,IFFT,float32,1024,1024,1024,4,4,NCCL,2,237.3997,167.1326,169.1738,168.1652,0.6131,168.357
10,FFT,float32,1024,1024,1024,4,4,NCCL,2,8131.8777,167.3785,229.4652,174.2004,18.4273,167.3785
10,IFFT,float32,1024,1024,1024,4,4,NCCL,2,263.7803,169.1676,170.5622,169.8263,0.4087,169.7984
9,FFT,float32,1024,1024,1024,4,4,NCCL,2,8132.9106,167.8577,229.363,175.0441,18.1203,168.6142
9,IFFT,float32,1024,1024,1024,4,4,NCCL,2,263.4038,168.1616,169.2607,168.7918,0.3595,168.1616
13,FFT,float32,1024,1024,1024,4,4,NCCL,2,8134.6125,167.828,228.5607,174.5884,17.9984,168.4047
13,IFFT,float32,1024,1024,1024,4,4,NCCL,2,261.8626,168.882,170.0279,169.3221,0.3249,168.9053
12,FFT,float32,1024,1024,1024,4,4,NCCL,2,8134.076,168.7,227.9079,175.1428,17.594,168.8173
12,IFFT,float32,1024,1024,1024,4,4,NCCL,2,262.4859,168.1477,169.4716,168.689,0.4147,168.5765
14,FFT,float32,1024,1024,1024,4,4,NCCL,2,8133.1648,167.5441,230.1612,174.1313,18.6807,167.6732
14,IFFT,float32,1024,1024,1024,4,4,NCCL,2,262.3901,168.9548,171.2334,169.9431,0.611,168.9548
11,FFT,float32,1024,1024,1024,4,4,NCCL,2,8130.8859,167.8856,229.4755,174.8448,18.2173,167.8856
11,IFFT,float32,1024,1024,1024,4,4,NCCL,2,264.4526,168.389,169.9826,169.1895,0.5758,169.9163
8,FFT,float32,1024,1024,1024,4,4,NCCL,2,8131.6756,168.7068,228.6598,175.5398,17.7194,168.9768
8,IFFT,float32,1024,1024,1024,4,4,NCCL,2,263.5009,167.5498,168.9768,168.19,0.418,167.5498
15,FFT,float32,1024,1024,1024,4,4,NCCL,2,8134.241,168.1073,228.7709,174.7013,18.0306,168.6995
15,IFFT,float32,1024,1024,1024,4,4,NCCL,2,262.492,168.6435,171.0439,169.3567,0.6861,169.59
9,FFT,float32,1024,1024,1024,4,4,MPI,2,10385.3692,531.5758,1187.6297,868.7361,201.6164,1108.8432
9,IFFT,float32,1024,1024,1024,4,4,MPI,2,646.6883,386.7864,747.6667,522.1272,115.2873,574.0646
1,FFT,float32,1024,1024,1024,4,4,MPI,2,9155.7459,595.6318,1145.2207,895.2182,186.4176,1145.2207
1,IFFT,float32,1024,1024,1024,4,4,MPI,2,745.7767,397.9817,603.7561,495.5088,73.2269,397.9817
5,FFT,float32,1024,1024,1024,4,4,MPI,2,9151.199,536.8697,1103.2977,846.0695,191.9438,1024.3385
5,IFFT,float32,1024,1024,1024,4,4,MPI,2,750.8169,401.2098,703.2122,548.1823,84.4836,541.2621
13,FFT,float32,1024,1024,1024,4,4,MPI,2,10387.087,583.8345,1146.941,872.1125,195.2039,1146.941
13,IFFT,float32,1024,1024,1024,4,4,MPI,2,847.8484,426.1187,610.8346,522.483,58.8142,426.1187
8,FFT,float32,1024,1024,1024,4,4,MPI,2,10385.4563,470.8691,972.4581,663.47,154.1159,972.4581
8,IFFT,float32,1024,1024,1024,4,4,MPI,2,684.8582,477.5999,977.6924,739.5706,157.1452,696.1494
12,FFT,float32,1024,1024,1024,4,4,MPI,2,10384.3588,411.9547,1000.3951,644.4107,162.6228,1000.3951
