rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
10,FFT,float32,1024,1024,1024,4,4,NCCL,2,5854.0786,161.5035,254.1415,171.6993,27.4867,162.0271
10,IFFT,float32,1024,1024,1024,4,4,NCCL,2,687.0957,166.8925,169.0756,167.7919,0.6092,167.1275
14,FFT,float32,1024,1024,1024,4,4,NCCL,2,6210.3855,161.3604,254.0411,171.6941,27.4552,162.2303
14,IFFT,float32,1024,1024,1024,4,4,NCCL,2,356.1811,166.9205,169.144,167.7974,0.6427,167.1164
13,FFT,float32,1024,1024,1024,4,4,NCCL,2,6166.8388,161.8648,254.6953,171.7899,27.6375,162.9645
13,IFFT,float32,1024,1024,1024,4,4,NCCL,2,355.0555,167.263,168.7201,167.7896,0.5177,167.2682
9,FFT,float32,1024,1024,1024,4,4,NCCL,2,5949.4227,161.8441,258.089,171.9567,28.7145,163.1405
9,IFFT,float32,1024,1024,1024,4,4,NCCL,2,685.8009,166.6839,169.0642,168.0122,0.7078,167.9673
6,FFT,float32,1024,1024,1024,4,4,NCCL,2,6300.3359,161.4374,252.8171,171.5133,27.1062,162.2156
6,IFFT,float32,1024,1024,1024,4,4,NCCL,2,357.7928,166.9454,169.3313,167.8507,0.6921,166.9949
0,FFT,float32,1024,1024,1024,4,4,NCCL,2,5873.9726,162.2083,257.5863,172.0953,28.5,163.7318
0,IFFT,float32,1024,1024,1024,4,4,NCCL,2,646.3928,166.4474,168.9979,167.7257,0.7589,167.0161
2,FFT,float32,1024,1024,1024,4,4,NCCL,2,6006.8429,161.6538,254.9571,171.8293,27.7158,162.2086
2,IFFT,float32,1024,1024,1024,4,4,NCCL,2,647.0817,167.0166,169.0123,167.7471,0.5671,167.1667
7,FFT,float32,1024,1024,1024,4,4,NCCL,2,6300.365,161.1672,252.6548,171.5038,27.058,162.6592
7,IFFT,float32,1024,1024,1024,4,4,NCCL,2,358.1464,167.012,169.6,167.8466,0.764,167.3088
8,FFT,float32,1024,1024,1024,4,4,NCCL,2,5946.0169,161.4506,257.2734,171.8234,28.487,163.0926
8,IFFT,float32,1024,1024,1024,4,4,NCCL,2,685.672,166.8556,168.9838,168.0386,0.6612,167.7444
11,FFT,float32,1024,1024,1024,4,4,NCCL,2,5862.1723,161.2952,254.3878,171.6368,27.5885,162.3423
11,IFFT,float32,1024,1024,1024,4,4,NCCL,2,687.4563,167.0408,169.356,167.9287,0.5879,167.514
12,FFT,float32,1024,1024,1024,4,4,NCCL,2,6195.2789,162.0994,255.1011,171.8661,27.749,163.7662
12,IFFT,float32,1024,1024,1024,4,4,NCCL,2,355.2835,166.6067,169.0569,167.7365,0.7601,167.025
15,FFT,float32,1024,1024,1024,4,4,NCCL,2,6276.8102,161.59,255.0333,171.7797,27.7557,162.5568
15,IFFT,float32,1024,1024,1024,4,4,NCCL,2,356.8326,166.977,168.9091,167.81,0.5332,167.134
4,FFT,float32,1024,1024,1024,4,4,NCCL,2,6324.7771,161.6154,253.0354,171.5755,27.1583,163.5374
4,IFFT,float32,1024,1024,1024,4,4,NCCL,2,357.1342,166.4734,168.8512,167.7734,0.7995,166.6114
1,FFT,float32,1024,1024,1024,4,4,NCCL,2,5874.7648,162.1968,253.4374,171.7496,27.2308,163.0786
1,IFFT,float32,1024,1024,1024,4,4,NCCL,2,645.9178,166.9827,168.909,167.7298,0.582,167.8567
