rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
5,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3488.4451,820.056,1187.4992,974.2421,120.5046,1042.6965
5,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,532.5878,385.6189,655.9936,479.4212,87.526,385.6189
4,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3486.6503,550.4832,1078.4627,837.733,148.1884,1056.3015
4,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,560.5277,413.1374,805.6214,618.6951,123.1962,413.1374
1,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3748.9262,672.6422,1060.0744,893.5415,107.831,1060.0744
1,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,430.1048,479.3062,632.8785,571.9382,49.4256,479.3062
12,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3165.9099,611.6474,1087.0647,845.8964,135.8468,1087.0647
12,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,964.1768,399.052,892.7268,611.1076,138.6576,399.052
13,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3191.0645,673.9542,1052.9464,922.2104,102.7661,1052.9464
13,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,903.5833,397.3156,653.1568,534.6213,85.4249,397.3156
9,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3426.7134,675.8866,1045.0583,880.1287,113.5631,1017.0912
9,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,716.3287,518.6395,649.3848,586.7502,40.9639,530.2667
8,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3432.1636,532.9139,1014.6725,793.0058,123.5873,1014.6725
8,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,680.1564,557.0563,794.4929,676.5483,71.5832,557.0563
0,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3760.8575,551.4111,1062.4647,790.311,134.8308,1062.4647
0,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,402.6857,506.6228,901.169,677.9008,105.192,506.6228
7,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3488.5299,178.904,1103.0103,608.9193,275.8817,874.6304
7,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,607.7916,503.1045,1239.7768,864.5,247.0888,583.0935
10,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3427.302,156.0649,1016.924,560.1046,273.208,648.2979
10,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,761.7716,592.0705,1254.8286,916.4252,262.6799,626.7767
11,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3426.5459,117.3311,885.8835,318.808,246.6142,682.7916
11,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,762.5795,630.9187,1458.8747,1158.1343,230.8866,630.9187
6,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3476.219,161.7923,981.6819,592.2851,250.4073,672.3005
6,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,679.613,568.3991,1284.1384,884.2342,256.206,614.0922
14,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3214.434,162.6654,1093.1401,570.027,324.3708,467.7843
14,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,1012.5979,469.7223,1273.1629,907.0597,349.0363,599.9109
3,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3751.9246,114.8428,883.6934,313.0504,253.9811,719.799
3,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,483.1848,598.5473,1431.1001,1164.3558,225.2103,598.5473
2,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3756.7677,177.8005,1174.7105,533.5984,311.8486,479.25
2,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,473.5368,431.9206,1267.687,943.1629,324.1008,592.0874
15,FFT,float32,1024,1024,1024,4,4,MPI4JAX,2,3227.7903,124.5116,859.2481,413.2922,304.0616,757.5596
15,IFFT,float32,1024,1024,1024,4,4,MPI4JAX,2,1020.4879,598.0254,1414.5603,1063.611,271.0934,598.0254
5,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6486.0851,485.3599,1207.5249,789.3576,189.1121,871.3865
5,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1172.6459,440.8125,909.463,634.1875,139.1129,440.8125
7,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6453.1242,513.2332,1021.6792,796.4072,155.2317,863.5805
7,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1125.9697,416.5241,860.5239,630.9437,136.1039,416.5241
1,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6451.5749,491.8925,1282.1608,864.5451,235.7931,957.5611
1,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,989.7439,419.7375,770.2715,572.0209,110.9223,482.4346
4,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6488.5052,484.3335,1174.695,823.2153,192.5696,914.6463
4,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1145.1545,408.8479,904.7625,618.0172,122.7187,525.6833
0,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6453.3356,633.954,1263.6003,844.8683,180.7437,928.5747
0,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1145.6177,392.8349,709.0883,602.0801,94.9868,537.1162
3,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6441.0941,564.1824,1150.2676,764.6731,164.9535,600.5715
3,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1159.9366,518.6295,832.6828,688.5079,104.5943,588.1645
2,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6445.0094,458.7192,997.0467,725.961,156.598,563.8493
2,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1147.7236,457.0058,914.7133,727.7106,126.6303,674.9252
6,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6486.6636,566.3783,1089.3524,737.9833,151.1349,566.3783
6,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1149.5133,459.9004,934.1793,717.1718,125.681,668.2676
10,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6878.0374,554.3677,942.8792,735.7952,110.7071,554.3677
10,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,713.8071,514.9163,825.0468,714.8129,88.1378,616.0015
15,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6846.1626,414.0758,1096.8267,729.1006,201.0985,414.0758
15,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,687.4687,389.0022,845.5712,717.4327,138.8439,751.1435
9,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6897.4646,484.5419,855.5403,655.7425,104.1847,657.6051
9,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,707.9379,398.2293,1111.9414,794.79,239.4059,986.8827
13,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6887.2818,325.7754,855.137,645.3063,150.7414,325.7754
13,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,646.576,575.8402,1029.5228,804.7858,151.2726,971.9427
12,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6906.2385,411.3991,800.9948,628.5052,132.2606,433.3605
12,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,676.1427,625.0735,1058.0185,823.1136,138.4856,991.5189
14,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6886.0504,459.2722,973.6348,713.3562,144.5422,649.212
14,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,774.0003,499.5421,940.7704,741.7993,139.972,592.6174
