rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
3,FFT,float32,1024,1024,1024,2,2,NCCL,1,1760.3139,137.8078,240.2111,149.3928,30.2865,141.029
3,IFFT,float32,1024,1024,1024,2,2,NCCL,1,878.4837,392.5743,398.8378,396.6419,2.1914,397.1768
0,FFT,float32,1024,1024,1024,2,2,NCCL,1,1710.2902,138.1451,239.499,149.1972,30.108,139.4726
0,IFFT,float32,1024,1024,1024,2,2,NCCL,1,886.618,392.8319,399.0583,396.7903,2.1261,397.8664
2,FFT,float32,1024,1024,1024,2,2,NCCL,1,1661.2551,109.176,239.9496,122.8176,39.045,109.9944
2,IFFT,float32,1024,1024,1024,2,2,NCCL,1,913.5371,422.1704,427.9902,426.1791,2.1674,426.9962
1,FFT,float32,1024,1024,1024,2,2,NCCL,1,1694.2005,109.3497,239.7389,122.6473,39.0309,109.5041
1,IFFT,float32,1024,1024,1024,2,2,NCCL,1,917.5478,422.1534,428.2682,426.3256,2.1828,427.5357
1,FFT,float32,1024,1024,1024,1,4,NCCL,1,939.0774,104.6606,226.4879,117.1428,36.4494,104.7218
1,IFFT,float32,1024,1024,1024,1,4,NCCL,1,246.856,51.3532,52.265,51.7091,0.2498,51.5809
0,FFT,float32,1024,1024,1024,1,4,NCCL,1,939.1115,104.6462,226.8953,117.1768,36.5734,104.6462
0,IFFT,float32,1024,1024,1024,1,4,NCCL,1,246.9277,51.3147,52.078,51.7247,0.2457,51.8901
3,FFT,float32,1024,1024,1024,1,4,NCCL,1,953.1764,104.8433,226.976,117.2947,36.5609,105.0969
3,IFFT,float32,1024,1024,1024,1,4,NCCL,1,247.0169,51.2459,52.2318,51.6302,0.2567,51.7309
2,FFT,float32,1024,1024,1024,1,4,NCCL,1,926.6819,104.8467,227.3303,117.3001,36.6773,104.8686
2,IFFT,float32,1024,1024,1024,1,4,NCCL,1,247.0162,51.2896,52.1396,51.6464,0.2448,51.7311
0,FFT,float32,1024,1024,1024,4,1,NCCL,1,551.7323,46.9713,170.8999,59.5417,37.1199,47.0269
0,IFFT,float32,1024,1024,1024,4,1,NCCL,1,747.1055,114.4748,115.0869,114.6912,0.1829,114.9351
1,FFT,float32,1024,1024,1024,4,1,NCCL,1,536.4823,46.9577,170.4956,59.514,36.9942,47.1444
1,IFFT,float32,1024,1024,1024,4,1,NCCL,1,747.0612,114.4379,114.9517,114.6699,0.1605,114.8126
3,FFT,float32,1024,1024,1024,4,1,NCCL,1,620.3109,46.705,170.2507,59.424,36.9429,47.0837
3,IFFT,float32,1024,1024,1024,4,1,NCCL,1,747.6555,114.5177,115.0708,114.7937,0.1557,114.7503
2,FFT,float32,1024,1024,1024,4,1,NCCL,1,573.6117,46.7109,170.9513,59.4971,37.1519,47.2044
2,IFFT,float32,1024,1024,1024,4,1,NCCL,1,747.5355,114.3654,114.9018,114.7064,0.1629,114.3654
0,FFT,float64,1024,1024,1024,2,2,NCCL,1,994.6249,287.3885,376.9163,296.8876,26.6801,288.6633
0,IFFT,float64,1024,1024,1024,2,2,NCCL,1,1028.497,706.1014,707.6495,707.0087,0.4334,706.507
3,FFT,float64,1024,1024,1024,2,2,NCCL,1,974.017,287.3587,377.4115,296.7804,26.8791,287.4974
3,IFFT,float64,1024,1024,1024,2,2,NCCL,1,1029.1675,706.5226,708.5967,707.143,0.5835,706.9948
1,FFT,float64,1024,1024,1024,2,2,NCCL,1,975.1163,228.8013,376.2461,244.1014,44.0499,229.1986
1,IFFT,float64,1024,1024,1024,2,2,NCCL,1,1086.6142,764.6955,766.5814,765.5375,0.573,764.6955
2,FFT,float64,1024,1024,1024,2,2,NCCL,1,1033.341,228.7844,377.5639,244.3611,44.4024,229.2389
2,IFFT,float64,1024,1024,1024,2,2,NCCL,1,1087.146,764.4306,766.747,765.3342,0.6184,764.739
3,FFT,float64,1024,1024,1024,1,4,NCCL,1,968.0097,161.0509,294.8072,174.7349,40.0246,161.0843
3,IFFT,float64,1024,1024,1024,1,4,NCCL,1,298.1952,106.5985,107.0407,106.9234,0.127,106.5985
2,FFT,float64,1024,1024,1024,1,4,NCCL,1,917.1608,161.0872,294.4417,174.8012,39.8812,161.0872
2,IFFT,float64,1024,1024,1024,1,4,NCCL,1,297.9909,106.5727,107.1406,106.8426,0.2029,106.5746
1,FFT,float64,1024,1024,1024,1,4,NCCL,1,922.0926,161.1116,294.909,174.667,40.0809,161.1116
1,IFFT,float64,1024,1024,1024,1,4,NCCL,1,298.0273,106.7246,107.4084,107.0402,0.2261,106.9165
0,FFT,float64,1024,1024,1024,1,4,NCCL,1,965.3824,160.9443,296.8999,174.8434,40.6859,161.368
0,IFFT,float64,1024,1024,1024,1,4,NCCL,1,297.6411,106.561,107.1985,107.0309,0.1803,106.561
0,FFT,float64,1024,1024,1024,4,1,NCCL,1,654.566,96.9903,247.2123,112.4521,44.9206,96.9903
0,IFFT,float64,1024,1024,1024,4,1,NCCL,1,375.4845,180.8911,181.9984,181.4667,0.2968,181.9984
1,FFT,float64,1024,1024,1024,4,1,NCCL,1,618.2982,97.1458,247.3442,112.48,44.9553,97.1458
1,IFFT,float64,1024,1024,1024,4,1,NCCL,1,375.2818,181.0785,181.78,181.4528,0.186,181.78
3,FFT,float64,1024,1024,1024,4,1,NCCL,1,619.0849,96.9482,247.3794,112.4506,44.9775,97.0898
3,IFFT,float64,1024,1024,1024,4,1,NCCL,1,375.4229,181.1106,181.9961,181.5403,0.2904,181.9432
2,FFT,float64,1024,1024,1024,4,1,NCCL,1,678.3135,97.0221,247.4848,112.3791,45.0362,97.1193
2,IFFT,float64,1024,1024,1024,4,1,NCCL,1,375.4406,181.0771,181.8507,181.5521,0.2234,181.6085
7,FFT,float32,1024,1024,1024,2,4,NCCL,2,1280.8108,375.9406,497.0915,481.1958,35.3499,494.1745
7,IFFT,float32,1024,1024,1024,2,4,NCCL,2,1858.9545,1349.0149,1368.9466,1362.166,5.6636,1360.1595
6,FFT,float32,1024,1024,1024,2,4,NCCL,2,1280.7861,376.2702,497.1276,481.1159,35.2209,494.0779
6,IFFT,float32,1024,1024,1024,2,4,NCCL,2,1858.9664,1349.0705,1369.0092,1362.2444,5.6698,1360.142
0,FFT,float32,1024,1024,1024,2,4,NCCL,2,1285.2846,375.7414,496.2688,481.0405,35.3112,492.7227
0,IFFT,float32,1024,1024,1024,2,4,NCCL,2,1865.6758,1349.6267,1369.5346,1362.6732,5.4849,1364.0322
1,FFT,float32,1024,1024,1024,2,4,NCCL,2,1285.4227,376.0332,496.5383,481.3317,35.3139,493.098
1,IFFT,float32,1024,1024,1024,2,4,NCCL,2,1865.5994,1349.325,1369.2024,1362.4218,5.5255,1363.6573
3,FFT,float32,1024,1024,1024,2,4,NCCL,2,1287.6572,186.2528,376.1314,208.1337,56.1079,193.8285
3,IFFT,float32,1024,1024,1024,2,4,NCCL,2,2170.8664,1651.8533,1677.3292,1665.9203,8.3491,1666.6325
2,FFT,float32,1024,1024,1024,2,4,NCCL,2,1287.5747,186.9195,376.7545,209.6884,55.8421,196.1941
2,IFFT,float32,1024,1024,1024,2,4,NCCL,2,2169.2157,1648.6978,1677.1705,1664.111,9.1858,1663.4022
5,FFT,float32,1024,1024,1024,2,4,NCCL,2,1283.8226,185.9609,376.2515,208.0291,56.1704,193.4801
5,IFFT,float32,1024,1024,1024,2,4,NCCL,2,2164.0675,1652.0983,1677.511,1666.1211,8.2848,1667.0849
4,FFT,float32,1024,1024,1024,2,4,NCCL,2,1309.1679,187.1621,375.6686,209.3384,55.5856,195.3384
4,IFFT,float32,1024,1024,1024,2,4,NCCL,2,2162.1606,1649.2893,1677.2897,1664.3363,9.0683,1663.6754
4,FFT,float32,1024,1024,1024,1,8,NCCL,2,945.6853,199.5104,323.1459,215.4613,36.0639,205.3854
4,IFFT,float32,1024,1024,1024,1,8,NCCL,2,373.1736,175.3758,179.0138,176.5487,0.9568,176.1975
5,FFT,float32,1024,1024,1024,1,8,NCCL,2,945.1099,199.3091,323.2834,215.4532,36.1178,205.6149
5,IFFT,float32,1024,1024,1024,1,8,NCCL,2,371.6782,174.9644,178.9585,176.5491,0.9743,176.188
6,FFT,float32,1024,1024,1024,1,8,NCCL,2,914.3366,199.5788,322.725,215.3175,35.9489,205.1578
6,IFFT,float32,1024,1024,1024,1,8,NCCL,2,375.1847,175.3049,177.9384,176.6142,0.723,177.0652
7,FFT,float32,1024,1024,1024,1,8,NCCL,2,914.4855,199.3678,322.8947,215.2661,36.0307,205.1998
7,IFFT,float32,1024,1024,1024,1,8,NCCL,2,372.5236,175.4145,178.2004,176.6778,0.8245,177.1317
0,FFT,float32,1024,1024,1024,1,8,NCCL,2,858.9653,200.2015,322.7002,215.6181,35.8512,205.1546
0,IFFT,float32,1024,1024,1024,1,8,NCCL,2,374.4092,174.3481,177.8684,176.3351,0.817,176.5548
2,FFT,float32,1024,1024,1024,1,8,NCCL,2,860.3289,198.1696,319.074,215.0224,34.8601,205.0329
2,IFFT,float32,1024,1024,1024,1,8,NCCL,2,374.6545,174.3252,178.983,176.7337,1.4047,176.3581
3,FFT,float32,1024,1024,1024,1,8,NCCL,2,858.8947,197.9701,318.2304,214.8067,34.6583,204.4395
3,IFFT,float32,1024,1024,1024,1,8,NCCL,2,375.2658,174.8887,179.4789,176.8263,1.4869,176.2032
1,FFT,float32,1024,1024,1024,1,8,NCCL,2,858.6818,200.4486,320.5455,215.3735,35.2065,204.8113
1,IFFT,float32,1024,1024,1024,1,8,NCCL,2,374.4552,173.9297,178.4295,176.3853,1.0616,177.0837
1,FFT,float32,1024,1024,1024,8,1,NCCL,2,826.8286,172.3797,295.7846,187.4855,36.2195,174.3042
1,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.571,203.4338,211.956,207.0314,2.8128,204.9913
0,FFT,float32,1024,1024,1024,8,1,NCCL,2,784.1595,172.8139,296.0874,187.3451,36.3622,174.2384
0,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.802,203.5178,211.8564,207.2473,2.6251,205.5448
2,FFT,float32,1024,1024,1024,8,1,NCCL,2,800.4833,172.8579,295.4486,187.5856,36.0436,176.4089
2,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.737,203.1342,211.7757,207.0925,2.6721,206.2234
3,FFT,float32,1024,1024,1024,8,1,NCCL,2,840.38,173.3394,295.5195,187.879,35.9552,177.086
3,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.7956,203.3401,210.7233,206.8083,2.319,206.1901
5,FFT,float32,1024,1024,1024,8,1,NCCL,2,804.3217,172.1736,296.9408,187.5704,36.6085,173.205
5,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.6646,203.5482,211.7474,207.2021,2.6886,207.355
6,FFT,float32,1024,1024,1024,8,1,NCCL,2,785.6545,172.9875,296.3413,187.6558,36.3464,174.0734
6,IFFT,float32,1024,1024,1024,8,1,NCCL,2,385.7593,203.6932,211.0818,207.0667,2.3346,206.6741
7,FFT,float32,1024,1024,1024,8,1,NCCL,2,807.2534,173.0971,296.6633,187.7738,36.4148,173.7231
