rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
3,FFT,float32,1024,1024,1024,2,2,NCCL,1,1982.1138,101.4318,172.6892,109.9029,20.9694,104.5578
3,IFFT,float32,1024,1024,1024,2,2,NCCL,1,199.3921,107.8382,115.7013,110.3626,2.1673,108.0231
2,FFT,float32,1024,1024,1024,2,2,NCCL,1,1982.0892,101.6285,172.8625,110.5031,20.9081,104.7283
2,IFFT,float32,1024,1024,1024,2,2,NCCL,1,198.6256,107.8563,113.0619,109.7927,1.5832,108.0823
1,FFT,float32,1024,1024,1024,2,2,NCCL,1,1982.3101,101.7229,173.0439,110.4148,20.9044,101.9782
1,IFFT,float32,1024,1024,1024,2,2,NCCL,1,199.1858,107.959,113.1085,109.891,1.9961,108.0894
0,FFT,float32,1024,1024,1024,2,2,NCCL,1,1981.7489,101.726,172.4389,109.8451,20.925,101.9157
0,IFFT,float32,1024,1024,1024,2,2,NCCL,1,198.5673,108.1514,113.1188,110.3949,1.3084,108.1514
1,FFT,float32,1024,1024,1024,2,2,MPI,1,2322.8479,101.9582,173.949,110.7313,21.1496,107.5213
1,IFFT,float32,1024,1024,1024,2,2,MPI,1,205.2104,110.9182,116.088,113.3147,1.7572,113.6663
0,FFT,float32,1024,1024,1024,2,2,MPI,1,2353.6636,102.2702,174.0793,112.0044,20.7885,105.1163
0,IFFT,float32,1024,1024,1024,2,2,MPI,1,203.1056,108.6336,113.6334,112.0369,1.6262,113.5025
3,FFT,float32,1024,1024,1024,2,2,MPI,1,2337.1342,102.1442,174.7168,111.0469,21.2825,107.5757
3,IFFT,float32,1024,1024,1024,2,2,MPI,1,194.1367,110.6848,113.8701,113.0282,1.1514,113.4993
2,FFT,float32,1024,1024,1024,2,2,MPI,1,2339.0765,102.158,174.0616,110.5978,21.1874,102.3209
2,IFFT,float32,1024,1024,1024,2,2,MPI,1,194.4596,110.9776,116.2904,113.6763,1.9697,116.1803
0,FFT,float32,1024,1024,1024,1,4,NCCL,1,1014.5524,55.2355,128.1347,62.6357,21.8332,55.4183
0,IFFT,float32,1024,1024,1024,1,4,NCCL,1,151.2271,62.165,62.4246,62.3154,0.0846,62.3953
1,FFT,float32,1024,1024,1024,1,4,NCCL,1,1014.6032,55.2575,128.4007,62.6607,21.9135,55.3737
