rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
7,FFT,float32,1024,1024,1024,2,4,NCCL,1,7824.1137,16.0157,131.1697,27.873,34.4338,16.0157
7,IFFT,float32,1024,1024,1024,2,4,NCCL,1,233.7896,31.844,32.6714,32.2287,0.2656,32.0582
3,FFT,float32,1024,1024,1024,2,4,NCCL,1,7570.7483,16.0424,130.578,27.8876,34.2316,16.1841
3,IFFT,float32,1024,1024,1024,2,4,NCCL,1,512.9959,31.7263,32.7091,32.1633,0.2953,31.8634
0,FFT,float32,1024,1024,1024,2,4,NCCL,1,7592.7174,15.9571,151.9689,29.8037,40.7221,16.0565
0,IFFT,float32,1024,1024,1024,2,4,NCCL,1,512.8426,31.888,32.937,32.3804,0.3523,32.2344
5,FFT,float32,1024,1024,1024,2,4,NCCL,1,7935.4835,15.9395,151.9414,29.7282,40.7384,15.9921
5,IFFT,float32,1024,1024,1024,2,4,NCCL,1,234.0349,31.8575,33.0849,32.401,0.4485,32.0774
6,FFT,float32,1024,1024,1024,2,4,NCCL,1,7905.0477,15.8205,130.887,27.6952,34.3981,16.0042
6,IFFT,float32,1024,1024,1024,2,4,NCCL,1,233.718,31.7818,33.1187,32.3201,0.3871,31.7818
4,FFT,float32,1024,1024,1024,2,4,NCCL,1,7826.284,15.9344,130.8096,27.8671,34.3157,16.0335
4,IFFT,float32,1024,1024,1024,2,4,NCCL,1,233.1713,31.9439,32.3341,32.1616,0.1485,32.2379
2,FFT,float32,1024,1024,1024,2,4,NCCL,1,7547.4617,16.2046,146.6899,29.6163,39.0261,16.2079
2,IFFT,float32,1024,1024,1024,2,4,NCCL,1,513.3536,31.6326,32.7335,32.0038,0.3459,31.72
1,FFT,float32,1024,1024,1024,2,4,NCCL,1,7626.2512,16.0073,173.4275,32.1572,47.0915,16.0939
1,IFFT,float32,1024,1024,1024,2,4,NCCL,1,513.6721,31.8254,32.6363,32.1395,0.254,31.8965
