rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
6,FFT,float32,1024,1024,1024,2,4,NCCL,1,9037.057,20.9926,85.6421,28.4754,19.0752,21.1797
6,IFFT,float32,1024,1024,1024,2,4,NCCL,1,96.3567,22.5593,24.7471,23.4285,0.7866,22.7301
2,FFT,float32,1024,1024,1024,2,4,NCCL,1,9036.7278,21.0537,85.7135,28.6627,19.0401,21.2022
2,IFFT,float32,1024,1024,1024,2,4,NCCL,1,98.4354,22.5162,24.2355,23.1651,0.5887,22.6942
0,FFT,float32,1024,1024,1024,2,4,NCCL,1,9036.1603,20.9155,85.6748,28.31,19.1357,20.9155
0,IFFT,float32,1024,1024,1024,2,4,NCCL,1,100.9254,22.3629,24.7307,23.5387,0.9104,22.7732
4,FFT,float32,1024,1024,1024,2,4,NCCL,1,9036.4937,20.9635,84.8262,28.1753,18.8966,20.9635
4,IFFT,float32,1024,1024,1024,2,4,NCCL,1,98.6956,22.3231,25.3083,23.6596,1.0847,22.7229
7,FFT,float32,1024,1024,1024,2,4,NCCL,1,9035.8332,21.1461,85.7693,28.5598,19.0855,21.17
7,IFFT,float32,1024,1024,1024,2,4,NCCL,1,98.0866,22.1633,24.9542,23.3129,0.992,22.1633
5,FFT,float32,1024,1024,1024,2,4,NCCL,1,9037.8669,20.9875,86.0216,28.346,19.2359,21.2811
5,IFFT,float32,1024,1024,1024,2,4,NCCL,1,97.7008,22.2224,24.8589,23.585,0.879,22.9863
1,FFT,float32,1024,1024,1024,2,4,NCCL,1,9033.4745,21.0645,87.2115,28.4917,19.5824,21.3311
1,IFFT,float32,1024,1024,1024,2,4,NCCL,1,99.8365,22.1935,24.5374,23.4749,0.833,22.8263
3,FFT,float32,1024,1024,1024,2,4,NCCL,1,9036.8772,21.0785,87.0136,28.7527,19.4378,21.217
3,IFFT,float32,1024,1024,1024,2,4,NCCL,1,100.4082,22.1854,24.417,23.1823,0.838,22.1854
2,FFT,float32,1024,1024,1024,2,4,MPI,1,9671.7719,20.289,89.7056,27.8371,20.628,20.6856
2,IFFT,float32,1024,1024,1024,2,4,MPI,1,121.65,21.8386,23.0809,22.4217,0.514,22.0307
6,FFT,float32,1024,1024,1024,2,4,MPI,1,9707.0222,20.3711,88.8801,27.6158,20.4227,20.6973
6,IFFT,float32,1024,1024,1024,2,4,MPI,1,92.7342,21.8322,23.793,22.5953,0.755,21.9789
7,FFT,float32,1024,1024,1024,2,4,MPI,1,9827.8223,20.4166,88.4125,27.5767,20.2797,20.6968
7,IFFT,float32,1024,1024,1024,2,4,MPI,1,92.6951,21.7907,23.8002,22.5866,0.7691,22.0201
0,FFT,float32,1024,1024,1024,2,4,MPI,1,9679.6154,20.308,88.1152,27.7651,20.1228,20.6983
0,IFFT,float32,1024,1024,1024,2,4,MPI,1,121.6566,21.8314,23.0566,22.3291,0.4457,21.9639
5,FFT,float32,1024,1024,1024,2,4,MPI,1,9708.9513,20.0692,88.0034,27.5001,20.1701,20.699
5,IFFT,float32,1024,1024,1024,2,4,MPI,1,92.7409,22.0086,23.7568,22.6216,0.7146,22.0103
3,FFT,float32,1024,1024,1024,2,4,MPI,1,9756.4279,20.314,89.0618,27.7892,20.4295,20.685
3,IFFT,float32,1024,1024,1024,2,4,MPI,1,121.632,21.7974,23.0337,22.39,0.5026,22.005
1,FFT,float32,1024,1024,1024,2,4,MPI,1,9784.6717,20.1218,88.0509,27.6885,20.127,20.685
1,IFFT,float32,1024,1024,1024,2,4,MPI,1,121.6201,21.8206,23.0582,22.3981,0.5037,22.0168
4,FFT,float32,1024,1024,1024,2,4,MPI,1,9789.8212,20.3544,88.4145,27.647,20.2588,20.6015
4,IFFT,float32,1024,1024,1024,2,4,MPI,1,92.7751,21.6662,23.5493,22.4989,0.6629,22.0088
0,FFT,float32,1024,1024,1024,1,8,NCCL,1,9794.3257,16.5478,80.4205,23.6417,18.9324,16.5478
0,IFFT,float32,1024,1024,1024,1,8,NCCL,1,99.1617,17.8633,18.9651,18.5614,0.3837,17.8633
6,FFT,float32,1024,1024,1024,1,8,NCCL,1,9795.9997,16.6447,82.884,23.9049,19.6649,16.7643
6,IFFT,float32,1024,1024,1024,1,8,NCCL,1,99.0808,17.9415,19.0001,18.5834,0.4166,17.9968
7,FFT,float32,1024,1024,1024,1,8,NCCL,1,9782.0873,16.6417,80.2524,23.7187,18.8514,16.7451
7,IFFT,float32,1024,1024,1024,1,8,NCCL,1,98.8993,17.9161,18.9944,18.5144,0.3888,17.9418
