rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
0,FFT,float32,1024,1024,1024,2,2,NCCL,1,903.2659,101.844,172.5183,111.5451,20.4343,101.844
0,IFFT,float32,1024,1024,1024,2,2,NCCL,1,201.0188,107.8663,113.0588,109.8437,1.9687,110.4902
1,FFT,float32,1024,1024,1024,2,2,NCCL,1,903.1358,101.6927,171.9204,110.7853,20.4735,102.0192
1,IFFT,float32,1024,1024,1024,2,2,NCCL,1,203.0662,107.9093,113.3079,110.5574,1.2122,110.5853
3,FFT,float32,1024,1024,1024,2,2,NCCL,1,901.8711,101.5356,172.4723,109.7993,20.9553,104.5709
3,IFFT,float32,1024,1024,1024,2,2,NCCL,1,200.1481,107.9084,115.9404,111.5592,2.4122,110.4654
2,FFT,float32,1024,1024,1024,2,2,NCCL,1,901.6976,102.1375,172.4749,112.3443,20.1109,104.4967
2,IFFT,float32,1024,1024,1024,2,2,NCCL,1,198.301,107.8639,113.2016,109.0236,1.7177,110.5082
0,FFT,float32,1024,1024,1024,2,2,MPI,1,2315.652,102.2093,174.6676,111.826,21.0365,108.985
0,IFFT,float32,1024,1024,1024,2,2,MPI,1,201.7683,111.0986,116.4425,112.7644,1.7031,113.5996
1,FFT,float32,1024,1024,1024,2,2,MPI,1,2325.835,102.0098,177.5124,111.4447,22.1005,107.1778
1,IFFT,float32,1024,1024,1024,2,2,MPI,1,204.3481,110.9946,114.0618,113.1752,1.048,110.9946
3,FFT,float32,1024,1024,1024,2,2,MPI,1,2377.2741,101.8974,177.5913,110.5445,22.3807,101.9594
3,IFFT,float32,1024,1024,1024,2,2,MPI,1,201.8735,111.0941,118.1074,114.3172,1.8745,113.609
2,FFT,float32,1024,1024,1024,2,2,MPI,1,2310.169,102.0324,175.1266,112.0063,21.1166,106.5458
2,IFFT,float32,1024,1024,1024,2,2,MPI,1,204.5223,108.4134,116.2526,112.6105,2.0976,113.6826
0,FFT,float32,1024,1024,1024,1,4,NCCL,1,942.5848,68.4703,140.796,77.406,21.2449,68.8781
0,IFFT,float32,1024,1024,1024,1,4,NCCL,1,164.757,73.8181,80.5335,76.8126,1.9088,76.365
2,FFT,float32,1024,1024,1024,1,4,NCCL,1,850.0018,68.7305,140.517,77.4969,21.0593,72.9221
2,IFFT,float32,1024,1024,1024,1,4,NCCL,1,164.4466,74.5806,78.4647,76.5247,1.2793,74.6801
3,FFT,float32,1024,1024,1024,1,4,NCCL,1,857.6781,68.3588,141.1649,77.5026,21.2779,70.5871
3,IFFT,float32,1024,1024,1024,1,4,NCCL,1,162.362,73.791,78.1476,76.9443,1.1903,78.1476
1,FFT,float32,1024,1024,1024,1,4,NCCL,1,855.8305,68.6402,140.9324,77.9635,21.0534,69.8555
1,IFFT,float32,1024,1024,1024,1,4,NCCL,1,165.3277,73.7663,80.4235,76.2874,2.0033,76.5545
1,FFT,float32,1024,1024,1024,1,4,MPI,1,3031.9106,88.068,160.8431,96.6463,21.4217,91.3856
1,IFFT,float32,1024,1024,1024,1,4,MPI,1,182.7351,94.6192,99.8338,97.3393,1.241,97.5813
0,FFT,float32,1024,1024,1024,1,4,MPI,1,3063.9842,87.7402,160.6722,96.8053,21.3455,91.4455
0,IFFT,float32,1024,1024,1024,1,4,MPI,1,182.1913,94.5892,99.1366,97.1668,1.1117,97.6091
3,FFT,float32,1024,1024,1024,1,4,MPI,1,3065.3508,88.3129,161.1509,97.45,21.3218,93.8403
3,IFFT,float32,1024,1024,1024,1,4,MPI,1,184.2607,94.4503,98.3161,96.5435,1.3908,97.3981
2,FFT,float32,1024,1024,1024,1,4,MPI,1,3029.3975,87.8612,161.187,96.498,21.5913,87.9254
2,IFFT,float32,1024,1024,1024,1,4,MPI,1,183.9626,95.2404,100.5225,97.3038,1.6947,95.2404
1,FFT,float32,1024,1024,1024,4,1,NCCL,1,841.1625,67.6042,139.813,76.0154,21.3007,67.6042
1,IFFT,float32,1024,1024,1024,4,1,NCCL,1,166.0806,75.897,81.3527,77.0261,1.7836,75.9713
0,FFT,float32,1024,1024,1024,4,1,NCCL,1,906.506,67.6047,139.961,76.5659,21.2358,67.6047
0,IFFT,float32,1024,1024,1024,4,1,NCCL,1,163.4891,75.8609,78.5624,76.4971,1.0242,75.9947
3,FFT,float32,1024,1024,1024,4,1,NCCL,1,886.9995,67.638,139.7386,76.5526,21.1706,67.641
3,IFFT,float32,1024,1024,1024,4,1,NCCL,1,163.5393,75.9053,78.5794,76.5771,1.0471,76.9852
2,FFT,float32,1024,1024,1024,4,1,NCCL,1,841.8495,67.6358,140.2016,76.0362,21.426,67.6761
2,IFFT,float32,1024,1024,1024,4,1,NCCL,1,163.6062,75.857,81.2912,77.0462,1.7567,76.0339
3,FFT,float32,1024,1024,1024,4,1,MPI,1,3047.7725,87.0576,160.6923,95.9092,21.6521,87.5979
3,IFFT,float32,1024,1024,1024,4,1,MPI,1,185.5583,96.6468,101.688,98.2465,1.6317,96.6468
2,FFT,float32,1024,1024,1024,4,1,MPI,1,3033.0581,87.5447,161.0911,96.4168,21.5981,87.6444
2,IFFT,float32,1024,1024,1024,4,1,MPI,1,183.0317,96.6581,99.3686,97.7745,1.2013,96.7371
0,FFT,float32,1024,1024,1024,4,1,MPI,1,3027.5369,87.1406,161.2871,96.4961,21.6423,87.7779
0,IFFT,float32,1024,1024,1024,4,1,MPI,1,182.6898,96.6322,102.2813,97.9746,1.791,99.3193
1,FFT,float32,1024,1024,1024,4,1,MPI,1,3035.9298,86.9509,160.945,96.4691,21.57,90.3842
1,IFFT,float32,1024,1024,1024,4,1,MPI,1,182.7055,96.3415,99.2936,97.9755,1.2844,99.2936
1,FFT,float64,1024,1024,1024,2,2,NCCL,1,995.9886,207.6402,278.8764,216.8018,20.7621,209.7026
1,IFFT,float64,1024,1024,1024,2,2,NCCL,1,325.5982,239.255,242.0374,240.6594,1.1733,239.479
3,FFT,float64,1024,1024,1024,2,2,NCCL,1,999.3366,207.5095,279.2033,216.0555,21.0921,207.7653
3,IFFT,float64,1024,1024,1024,2,2,NCCL,1,325.4799,237.6219,243.879,241.6814,1.7342,241.8126
2,FFT,float64,1024,1024,1024,2,2,NCCL,1,987.5347,207.5325,279.0124,216.91,20.7832,210.2987
2,IFFT,float64,1024,1024,1024,2,2,NCCL,1,334.1118,237.2702,246.3768,240.5724,2.3305,239.4998
0,FFT,float64,1024,1024,1024,2,2,NCCL,1,993.5627,207.7047,279.4126,217.1251,20.8556,212.2047
0,IFFT,float64,1024,1024,1024,2,2,NCCL,1,334.0195,237.1557,244.1902,240.181,2.453,237.2949
2,FFT,float64,1024,1024,1024,2,2,MPI,1,2459.6738,208.2482,279.7738,218.1396,20.7883,210.4912
2,IFFT,float64,1024,1024,1024,2,2,MPI,1,335.5038,238.2011,246.8738,243.1624,2.535,246.8738
1,FFT,float64,1024,1024,1024,2,2,MPI,1,2456.7958,208.3547,280.2042,217.3759,21.0696,210.5386
1,IFFT,float64,1024,1024,1024,2,2,MPI,1,330.334,238.1742,248.8492,243.7471,2.7564,244.6301
0,FFT,float64,1024,1024,1024,2,2,MPI,1,2456.0877,208.3571,280.3046,217.8055,20.989,210.7251
0,IFFT,float64,1024,1024,1024,2,2,MPI,1,334.3655,240.3718,247.082,243.1681,1.8015,242.9984
3,FFT,float64,1024,1024,1024,2,2,MPI,1,2454.4359,208.325,279.9802,218.7171,20.5852,208.325
3,IFFT,float64,1024,1024,1024,2,2,MPI,1,333.0868,238.3746,244.7554,242.195,2.4326,242.7852
1,FFT,float64,1024,1024,1024,1,4,NCCL,1,930.2168,140.2379,211.2289,149.545,20.7392,140.2379
1,IFFT,float64,1024,1024,1024,1,4,NCCL,1,261.3755,170.7913,177.405,174.7605,2.1075,173.1851
